Site,Site Number,Detector number,Survey start date,Survey end date,Number of days,X coordinate,Y coordinate
Braunton,97,A1,11/07/2016,12/07/2016,2,250039,140018
Braunton,52,A2,11/07/2016,15/07/2016,5,248546,138541
Braunton,29,B1,11/07/2016,16/07/2016,6,250553,138068
Braunton,95,B2,11/07/2016,15/07/2016,5,246897,136508
Braunton,30,C1,,,0,249746,137606
Braunton,56,C2,11/07/2016,17/07/2016,7,247925,137625
Braunton,83,D1,11/07/2016,12/07/2016,2,250128,135991
Braunton,75,D2,11/07/2016,16/07/2016,6,248191,138556
Braunton,14,E1,,,0,247621,138702
Braunton,81,E2,,,0,250327,135787
Braunton,91,F1,11/07/2016,13/07/2016,3,248861,139662
Braunton,27,F2,11/07/2016,11/07/2016,1,250151,138271
Braunton,10,G2,11/07/2016,12/07/2016,2,248881,136975
Braunton,6,H1,11/07/2016,13/07/2016,6,248823,137906
Braunton,5,H2,11/07/2016,16/07/2016,3,248786,137756
Braunton,13,I1,11/07/2016,17/07/2016,7,247509,138540
Braunton,73,I2,11/07/2016,17/07/2016,7,247751,137792
Braunton,44,J1,11/07/2016,15/07/2016,5,248216,136811
Braunton,54,J2,11/07/2016,11/07/2016,1,247114,137206
Braunton,82,K2,11/07/2016,16/07/2016,6,250602,135819
Braunton,66,L1,11/07/2016,13/07/2016,3,248340,137228
Braunton,70,M1,11/07/2016,12/07/2016,2,248074,137338
Braunton,96,M2,11/07/2016,12/07/2016,2,248302,136732
Braunton,98,N1,11/07/2016,17/07/2016,7,248637,135983
Braunton,99,N2,11/07/2016,17/07/2016,7,248771,136001
Braunton,12,O1,11/07/2016,17/07/2016,7,248097,138131
Braunton,28,O2,11/07/2016,12/07/2016,2,249983,137996
Braunton,8,P1,11/07/2016,12/07/2016,2,248891,137144
Braunton,87,P2,11/07/2016,12/07/2016,2,248749,139646
Braunton,15,R1,11/07/2016,17/07/2016,7,247623,138910
Braunton,63,R2,11/07/2016,17/07/2016,7,248214,138965
Braunton,19,S1,11/07/2016,17/07/2016,7,248514,139372
Braunton,31,T1,11/07/2016,17/07/2016,7,250206,137568
Braunton,92,T2,11/07/2016,17/07/2016,7,249126,139413
Braunton,67,U1,11/07/2016,14/07/2016,4,248314,137396
Braunton,84,U2,11/07/2016,15/07/2016,5,250587,135963
Braunton,88,V1,11/07/2016,17/07/2016,7,248627,139752
Braunton,100,V2,11/07/2016,15/07/2016,5,247038,136650
Braunton,57,W1,11/07/2016,17/07/2016,7,247771,137932
Braunton,80,W2,11/07/2016,13/07/2016,3,250241,135858
Braunton,1,X1,11/07/2016,17/07/2016,7,248724,137542
